"Foschinis Brick Oven Dumont, NJ $5.00 off $30.00 Purchase http://t.co/fGltQmEBd0 Dumont Pizza Restaurants #coupon"
"Appliance Doctor Inc Burlington, NJ $20.00 off parts and labo http://t.co/8u8FCm6F3J Burlington Major Appliances Service &amp; Repair #coupon"
"Sinatra Accpuntcture &amp; Chiropractic Park Ridge, NJ Free Consultation http://t.co/KJESKWJxgo ParkRidge Acupuncture &amp; Acupressure #coupon"
"Lassen Cleaning Service Red Bank, NJ $50 off  next cleaning http://t.co/UBgDLi05Ii RedBank Janitorial Services #coupon"
"Medford's Panda Garden Thai &amp; Chinese Restaurant Medford, NJ FREE SOUP OR EGG  http://t.co/r787zJ3WwX Medford Chinese Restaurants #coupon"
"Meadowlands Taxi Cab East Rutherford, NJ 10% off your ride. (offercode:2010) http://t.co/ZY5Iw7bGh5 EastRutherford  #coupon"
"Hoffman Schreiber &amp; Cores, P.A. Red Bank, NJ Free Initial Consultation http://t.co/SMbHQCbUD5 RedBank Family Law Attorneys #coupon"
"Action Auto Body Hammonton, NJ Warranty http://t.co/R3utohPtA1 Hammonton Auto Body Repair &amp; Painting #coupon"
"J B Bakery Burlington, NJ $5.00 off $40.00 http://t.co/8agmhjaYhr Burlington Bakeries #coupon"
"Flood Control Livingston, NJ $50 off Emergency Service (o http://t.co/e2NJvZqq05 Livingston Water Extraction &amp; Damage Restoration #coupon"
"ALWAYS PERFECTION TENT RENTALS NEW JERSEY BOUND BROOK, NJ WWW.ALWAYSPERFECTION http://t.co/WYLN4EcVzq BOUNDBROOK Birthday Parties #coupon"
"Clifton Locksmith Clifton, NJ New car key- 15% off! http://t.co/1fLThRs0oW Clifton Locks &amp; Locksmiths #coupon"
"Stanley Spector Law Ocean, NJ Free Consultation http://t.co/yXKupl6fkY Ocean Criminal Law Attorneys #coupon"
"911 Communications Livingston, NJ 10-15% (offercode:0114) http://t.co/gsu0KQYNU4 Livingston Telecommunications Equipment #coupon"
"Hightstown Locksmith Hightstown, NJ 10% OFF LOCKSMITH SERVICE http://t.co/USPzw0ttsr Hightstown Locks &amp; Locksmiths #coupon"
"GlassMax of Pennsauken Pennsauken, NJ $20.00 OFF http://t.co/IaLCEmM3P5 Pennsauken Auto Glass Retail #coupon"
"Hairmaster's Unisex Salon Clementon, NJ 20% Off Existing Clients http://t.co/dEqIDZdVpg Clementon Barbers #coupon"
"Art Kitchen &amp; Bathroom Studio Ringwood, NJ Kitchen Cabinets http://t.co/gUbCj8zpdg Ringwood Kitchen Design &amp; Remodeling Services #coupon"
"Five Star Upholstery &amp; Decorating New Brunswick, NJ $20.00 Off http://t.co/owkbtmnkZG NewBrunswick Upholsterers #coupon"
"West Long Branch Electrolysis West Long Branch, NJ $10 Off http://t.co/Sphvu0kP90 WestLongBranch Electrolysis Treatments #coupon"
"Rain-Soft Water Service Vincentown, NJ FREE WATER TESTING http://t.co/lt7UjKZXlN Vincentown Water Filtration Equipment Retail #coupon"
"Alpha Glass Systems LLC North Brunswick, NJ 10% OFF Any Ta http://t.co/z0h80vEP6h NorthBrunswick Shower Doors &amp; Enclosures Retail #coupon"
"I Scream Ice Cream Paramus, NJ $1 Off Any Sundae/ Shake http://t.co/KSxPHO61bg Paramus Ice Cream &amp; Frozen Yogurt Shops #coupon"
"Agra Cremation Jersey City, NJ Referral Discount http://t.co/oS8YcBKldz JerseyCity Cremation Services #coupon"
"Modern Motion Somerset, NJ $5 off 1st Month Tuition (o http://t.co/tkETYbHC7E Somerset Cultural Attractions, Events, &amp; Facilities #coupon"
"AAA Extreme Playmates Union City, NJ 25 DOLLARS OFF FIRST HOUR http://t.co/0fGakDazzf UnionCity Personal Escort Services #coupon"
"Accurate Chimney Specialists Elizabeth, NJ 15 %     O F F (offercode:Super1) http://t.co/LuNHpR6ZOB Elizabeth Masonry Contractors #coupon"
"Friendly Tree Service Morristown, NJ FREE Expert Site Analysis of your t http://t.co/NELtpj8dqR Morristown Tree Trimming Services #coupon"
"His &amp; Her Electric Rockaway, NJ FREE VISA GIFT CARD! (SUPERPAGE  http://t.co/uUbfE7uwFh Rockaway Electric Contractors Residential #coupon"
"Flood Control Rockaway, NJ $50 off Emergency Service (offer http://t.co/lkpcPmytCz Rockaway Water Extraction &amp; Damage Restoration #coupon"
"Ridgefield Locksmith 4 Less Ridgefield, NJ 10% OFF http://t.co/ZLmmAWW8xO Ridgefield Locks &amp; Locksmiths #coupon"
"My Training Gym Morristown, NJ Special Discount Offer http://t.co/Oqz6QaMRXw Morristown Exercise &amp; Fitness Classes &amp; Instruction #coupon"
"#1 Locksmith XX West New York, NJ $5 Off $50 service or more! http://t.co/i5fihlAZRc WestNewYork Locks &amp; Locksmiths #coupon"
"Friendly Tree Service New Providence, NJ FREE Expert Si http://t.co/HEwwRuLrCt NewProvidence Cranes, Hoisting, &amp; Rigging Services #coupon"
"CollisionMax of Sicklerville Sicklerville, NJ $20.00 OFF http://t.co/8wNiC0fndA Sicklerville Auto Body Repair &amp; Painting #coupon"
"Flood Control Garfield, NJ $50 off Emergency Service (offer http://t.co/1ijm4uc0c1 Garfield Water Extraction &amp; Damage Restoration #coupon"
"Keansburg Locksmith 4 Less Keansburg, NJ 10% OFF http://t.co/zG0TdWLhYJ Keansburg Auto Locks &amp; Lockout Services #coupon"
"PestCore, Inc. Pest &amp; Termite Services Manahawkin, NJ New Customers Save  http://t.co/57BZST0TJd Manahawkin Pest Control Services #coupon"
"Flood Control Maple Shade, NJ $50 off Emergency Service ( http://t.co/hlsE5e0GrR MapleShade Water Extraction &amp; Damage Restoration #coupon"
"Queens Bridge Storage Park Bound Brook, NJ 1 Month Fre http://t.co/3loVqWVNCZ BoundBrook Moving &amp; Storage Commercial &amp; Industrial #coupon"
"Family HomeStyle Catering Deptford, NJ $49.99 TAILGATE SPECIAL http://t.co/bXp45clctj Deptford Caterers #coupon"
"JMV Landscaping Services Allendale, NJ $20 OFF FIRST $100 http://t.co/ClXqAbS04h Allendale Landscape Contractors #coupon"
"EUKSUZIAN ORTHODONTICS Medford Township, NJ $100 OFF (see Website) http://t.co/8AcLjK1YGv MedfordTownship Orthodontics Dentists #coupon"
"EmbroidMe Morristown Morristown, NJ Free Digitizing (offercode:SP12) http://t.co/jQ1zm3NLL2 Morristown Embroidery Service #coupon"
"Tekniques Salon East Brunswick, NJ Free Eyebrow Wax! (Free wax!) http://t.co/o6Xgj3v2vA EastBrunswick Beauty Salons #coupon"
"B Shore Heating &amp; Cooling Northfield, NJ $200.00 Off Any Replaceme http://t.co/X2BPnNTD7f Northfield Air Conditioning Contractors #coupon"
"Mexican Mike's Caldwell, NJ Buy 1 get 1 free http://t.co/7QlCJk7gxz Caldwell Restaurants #coupon"
"Flood Control Belmar, NJ $50 off Emergency Service (offercode http://t.co/KqABCWgNxj Belmar Water Extraction &amp; Damage Restoration #coupon"
"Quality Television &amp; Video Repair Center Morganville, NJ FREE HOU http://t.co/NyiGA3NiVD Morganville Televisions Service &amp; Repair #coupon"
"Manning Bros Bogota, NJ 20% Off Drop Off http://t.co/IrhdDMJ8IJ Bogota Carpet, Rug, &amp; Upholstery Cleaning #coupon"
"007 Locksmith Co Harrison, NJ 10% off ! http://t.co/ZH6a2BKZ44 Harrison Locks &amp; Locksmiths #coupon"
"Adrenaline Body Piercing &amp; Tattoos Brick, NJ 10% Discount http://t.co/8tg4H2pIx9 Brick Tattoos #coupon"
"Peach Country Self Storage Richwood, NJ First Month Special http://t.co/CcEPgbaauQ Richwood Household Goods &amp; Furniture Storage #coupon"
"Wallace Matthew A Freehold, NJ FREE CONSULTATION http://t.co/ZSsmja0Byb Freehold Attorneys #coupon"
"David Burgo Collingswood, NJ Save 10% on online referral! http://t.co/e5r0xl8Udh Collingswood Heating Contractors #coupon"
"Beachwood Locksmith 4 Less Beachwood, NJ 10% OFF http://t.co/2CyBDFxRBn Beachwood Locks &amp; Locksmiths #coupon"
"A Bailey Plumbing &amp; Heating Freehold, NJ $100 OFF http://t.co/kyLmtvWOpA Freehold Plumbing Contractors #coupon"
"Flood Control Montville, NJ $50 off Emergency Service (off http://t.co/Ta0BTKWYdn Montville Water Extraction &amp; Damage Restoration #coupon"
"Robert's Tuxedos Totowa, NJ $25.00 off PROM TUXEDO RENTAL http://t.co/3le7GNBnLa Totowa Tuxedos Sales &amp; Rental #coupon"
"Diamonds Hair Nail Salon Bound Brook, NJ $325 Half Day of Beauty at the Spa for $ http://t.co/1nwygkAw2h BoundBrook Beauty Salons #coupon"
"Rickyweb Solutions Clifton, NJ 15% OFF http://t.co/ysiy40jLwZ Clifton Copiers &amp; Supplies #coupon"
"Oakhurst Locksmith 4 Less Oakhurst, NJ 10% OFF http://t.co/ynyRzGMSU3 Oakhurst Locks &amp; Locksmiths #coupon"
"Cowleys Termite &amp; Pest Services Neptune City, NJ 10% SuperMedia Discount http://t.co/oQWI02kyTS NeptuneCity Pest Control Services #coupon"
"Electrician Roselle, NJ 10% off your final bill http://t.co/93ErDdDm5n Roselle Electric Contractors Residential #coupon"
"Premier Carpet &amp; Flooring Lawrenceville, NJ $200 OFF Coupon (offercode: http://t.co/A1nIwIZ392 Lawrenceville Carpet &amp; Rug Dealers #coupon"
"On Edge Detailing Flanders, NJ Loyalty Card http://t.co/rQeq5gYQ86 Flanders Auto Washing &amp; Polishing Equipment &amp; Supplies #coupon"
"The Divorce Service Cinnaminson, NJ $100 off http://t.co/1jXRfZ1dNV Cinnaminson Paralegal Services #coupon"
"quality paving and sealing woodstown, NJ 15% off http://t.co/FHN7aTqxuF woodstown Asphalt Paving Contractors #coupon"
"Union Locksmith 4 Less Union, NJ 10% OFF http://t.co/PK8BlbqgZV Union Locks &amp; Locksmiths #coupon"
"Flood Control Manahawkin, NJ $50 off Emergency Service (o http://t.co/skj7CpHxbl Manahawkin Water Extraction &amp; Damage Restoration #coupon"
"Right On Air Conditioning &amp; Heating Kendall Park, NJ 30.00 Repeat Customer http://t.co/HaFKGPMGIE KendallPark Heating Contractors #coupon"
"Belleville Locksmith 4 Less Belleville, NJ 10% OFF http://t.co/zCpgFEl5C4 Belleville Locks &amp; Locksmiths #coupon"
"RPG Mechanical CO Jackson, NJ 10% off http://t.co/EwQNaaiYRC Jackson Air Conditioning Contractors #coupon"
"Paul Locksmithing Hackensack, NJ 10% OFF LOCKSMITH SERVICE http://t.co/glKQzA3X68 Hackensack Locks &amp; Locksmiths #coupon"
"Sadowski Shell Lyndhurst, NJ RECESSION BUSTER! http://t.co/q2gnm5JCkW Lyndhurst Auto Service &amp; Repair #coupon"
"LIZBEST SERVICE Pleasantville, NJ $60.00 http://t.co/yNEV2ALiit Pleasantville Cleaning Services #coupon"
"Leaks and Cloggs Plumbing Hammonton, NJ Sewer/Main Replacement http://t.co/hHDsVhtvGy Hammonton Plumbing Contractors #coupon"
"Paterson Garage Door Paterson, NJ 10% Discounts on All type of Garage Door http://t.co/ocFxmmzLlL Paterson Garage Doors &amp; Openers #coupon"
"Call 1st Choice Plumbing Heating &amp; Cooling Today Hasbrouck Heights, NJ 15% OFF http://t.co/w6Pzo67Wo5 HasbrouckHeights #coupon"
"Family &amp; Natural Medicine Tenafly, NJ $50 off 1st Facial Rejuvenation Treatm http://t.co/bkQHuTB8Lt Tenafly Physicians &amp; Surgeons #coupon"
"First National Antiques Restoration Barnegat, NJ FREE ESTIMATES! http://t.co/z8jjmVr5VI Barnegat Furniture Refinishing &amp; Repair #coupon"
"All That Jazz Dance Academy Hamilton, NJ $5 off registration (offercode:ATJDA5) http://t.co/xkIJzF1nnB Hamilton Dance Studios #coupon"
"Skyland World Travel Hackettstown, NJ Luggage Tags http://t.co/jAlWbcQKr4 Hackettstown Travel Agents #coupon"
"Eatontown Locksmith 4 Less Eatontown, NJ 10% OFF http://t.co/sfCePJAQ8u Eatontown Locks &amp; Locksmiths #coupon"
"POM Cubicle Installations &amp; Movers Hoboken, NJ 10% off L http://t.co/H2k9hpxMYG Hoboken Office Furniture &amp; Equipment Installation #coupon"
"Eddie B Plumbing Cinnaminson, NJ $25 off Plumbing Services http://t.co/e7IHnRix0l Cinnaminson Plumbing Contractors #coupon"
"Nancy Hanna DDS Jersey City, NJ Free Teeth Whitening http://t.co/rZgk3JMXd9 JerseyCity Dentists #coupon"
"Sea Bright Locksmith 4 Less Sea Bright, NJ 10% OFF http://t.co/LU8KBWSAty SeaBright Locks &amp; Locksmiths #coupon"
"AAA-Able Plumbing Heating Sewer &amp; Drain Cleaning Service South Orange, NJ  http://t.co/b1c2xCFPjd SouthOrange Plumbing Contractors #coupon"
"Liberty Total Lawn Care East Hanover, NJ $10 Off http://t.co/SiEqbdQblP EastHanover Tree &amp; Stump Removal Services #coupon"
"Almand Bros Concrete Inc Audubon, NJ $150.00 Off http://t.co/AzWpOnDmoV Audubon Concrete Contractors #coupon"
"Appliance Doctor Inc Burlington, NJ $20.00 Off Repair http://t.co/8u8FCm6F3J Burlington Major Appliances Service &amp; Repair #coupon"
"Tantaztic Tanning Center Hoboken, NJ 50% of any bed (offercode:50off) http://t.co/VSNiosi919 Hoboken Tanning Salons #coupon"
"S C Action Sports Howell, NJ Free http://t.co/7Pmlf7VLsl Howell Bicycle Shops #coupon"
"Dance A Lot Ballroom Studio Fair Lawn, NJ Free Trial Class fo http://t.co/DAwpJJGN5x FairLawn Ballroom &amp; Social Dance Instruction #coupon"
"Scaldino Basement Solutions Linden, NJ 699.00 http://t.co/3CAoAoWTgY Linden Basement &amp; Crawlspace Waterproofing #coupon"
"K &amp; S Auto Glass Elizabeth, NJ $10 off purchase (offercode:01K) http://t.co/4hJYaHEFAw Elizabeth Auto Glass Retail #coupon"
"East Orange Locksmith 4 Less East Orange, NJ 10% OFF http://t.co/4t8T7S5Vtv EastOrange Locks &amp; Locksmiths #coupon"
"Speranzi Facial Spa Caldwell, NJ 20% Oxygen Infusion (Smartphone cou http://t.co/Unl49biEMN Caldwell Facial Skin Care &amp; Treatment #coupon"
"Emerson Locksmith 4 Less Emerson, NJ 10% OFF http://t.co/hH1JDVWi73 Emerson Locks &amp; Locksmiths #coupon"
"A-1 Armor Construction Blairstown, NJ $50 Off http://t.co/0TAzCRg9oe Blairstown Chimney Cleaning Services #coupon"
"Ridge Auto Body &amp; Repair Browns Mills, NJ 10% off up to $500.00 http://t.co/IjdoZjoITJ BrownsMills Auto Body Repair &amp; Painting #coupon"
"AAA-Able Plumbing Heating Sewer &amp; Drain Cleaning Service South Orange, NJ  http://t.co/b1c2xCFPjd SouthOrange Plumbing Contractors #coupon"
"Electrolysis By Rae Jean Wertheim LE CPE East Brunswick, NJ $10.00 o http://t.co/6puf4HVvc5 EastBrunswick Electrolysis Treatments #coupon"
"Forrest Cleaners In Hammonton Hammonton, NJ Shirts 1.19 with $25 worth of Dry Clean http://t.co/JVDmz42CYO Hammonton Dry Cleaners #coupon"
"Psychic Readings Wharton, NJ 50% http://t.co/dF5bYbMn94 Wharton Psychic Life Readings #coupon"
"Speedy Auto Repair Elmwood Park, NJ Free car stereo estimate http://t.co/dunrBqYIfJ ElmwoodPark Auto Service &amp; Repair #coupon"
"A1 Everlast Construction Hawthorne, NJ $200 OFF http://t.co/j6ItbnOovh Hawthorne Fireplace &amp; Chimney Building &amp; Repair #coupon"
"Kearny Garage Door Kearny, NJ 10% Discounts on All type of Garage Door http://t.co/CnbRjvQlwx Kearny Garage Doors &amp; Openers #coupon"
"Alpha Glass Systems LLC North Brunswick, NJ 10% OFF ANY http://t.co/z0h80vEP6h NorthBrunswick Shower Doors &amp; Enclosures Retail #coupon"
"North Bergen Garage Door North Bergen, NJ 10% Discounts on All type of  http://t.co/h1dHNjEBu6 NorthBergen Garage Doors &amp; Openers #coupon"
"Flood Control Medford, NJ $50 off Emergency Service (offerco http://t.co/T9eM4u6QRa Medford Water Extraction &amp; Damage Restoration #coupon"
"Major Safelock Little Falls, NJ 10% - 15% Off http://t.co/9eno0qdlqL LittleFalls Locks &amp; Locksmiths #coupon"
"Berlin Family Dental Office Berlin, NJ $99 Teeth Whitening http://t.co/xJSd40kwbX Berlin Dentists #coupon"
"Parisi Dental LLC Totowa, NJ New Patient Special (Valid only for new pts.) http://t.co/a1yewnI3Qc Totowa Dentists #coupon"
"Artists in Motion Dance Studio Cherry Hill, NJ 1 FREE WEEK ADULT UNLIMITED TRIAL http://t.co/xgqgS1bHfA CherryHill Dance Studios #coupon"
"01 Locksmith Warren, NJ 15% OFF NEW CAR KEY! http://t.co/poJM87FY98 Warren Locks &amp; Locksmiths #coupon"
"Summer Hill Florist East Windsor, NJ WEEKLY SPECIALS (offercode:SPECIAL12) http://t.co/yTDhkUxf5d EastWindsor Florists #coupon"
"Presentations Plus Kendall Park, NJ 50% off for  http://t.co/5qvlzII5eX KendallPark Communications &amp; Public Relations Consultants #coupon"
"Esposito's Electrical Contractors Inc Denville, NJ $245.00 http://t.co/bAgRpumI57 Denville Electric Contractors #coupon"
"Accurate Chimney Specialists Elizabeth, NJ 15 %     O F F (offercode:Super1) http://t.co/LuNHpQPoX3 Elizabeth Masonry Contractors #coupon"
"Northvale Locksmith 4 Less Northvale, NJ 10% OFF http://t.co/ajDkgzooW2 Northvale Locks &amp; Locksmiths #coupon"
"Michelle David - RE/MAX Vision Kenilworth, NJ Free Home Evaluation http://t.co/o71j9Iv4ky Kenilworth Real Estate Brokers #coupon"
"J C Reiss OPTI Morristown, NJ Kid's Glasses (offercode:sp2) http://t.co/hRy72IAOoq Morristown Opticians #coupon"
"Old Tappan Locksmith Service Old Tappan, NJ 10% OFF LOCKSMITH SERVICE http://t.co/6tbBU6hy1Z OldTappan Locks &amp; Locksmiths #coupon"
"New Era Barber Shop Beverly, NJ 20% off all services Sunday and Monday http://t.co/2IU2UGKazO Beverly Barbers #coupon"
"Union County Limo Svc Cranford, NJ 5% off on all stretch limousine reservation http://t.co/mNlmMoUc5Q Cranford Limousine Services #coupon"
"Ramsey Locksmith 4 Less Ramsey, NJ 10% OFF http://t.co/E1kSo3lcus Ramsey Locks &amp; Locksmiths #coupon"
"Diamonds Hair Nail Salon Bound Brook, NJ $325 Half Day of Beauty at the Spa for $ http://t.co/1nwygkAw2h BoundBrook Beauty Salons #coupon"
"Fuda Tile of Howell freehold, NJ 20 % Off (Online 20% off) http://t.co/wBIrRSx85Y freehold Tile Flooring Retail #coupon"
"Jackson Spine &amp; Disk Jackson, NJ FREE Initial Consultation http://t.co/zfv0jcsVcq Jackson Chiropractors #coupon"
"Protechvision Computer Services elmwood park, NJ 30 http://t.co/ZQCQIUMa5I elmwoodpark Computers &amp; Equipment Repair &amp; Maintenance #coupon"
